Unnamed: 0,2025-10-01 00:00:00,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
,16,Nu aire,AC AMC,Quarterly,36000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17,Miscellaneous,Repair & Maintenance,Monthly,50000,4166.666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18,Microsoft 365,Software,Annualy,7000,583.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19,Asterisk,Photocopier (Admin & DVP),Monthly,60000,5000,4248,0,0,0,0,0,0,0,0,0,0,4248,,,,0,0,0,0,0,0,0,0,0,0,0,2177,2124,,
,20,Indian Postal Department,Speed post,Monthly,120000,10000,2572,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2572,
,21,Pradeep Kumar Cost Accountant,Financial Consultant,Monthly,1296000,108000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,Pradeep Kumar Cost Accountant,Accounts Assistance,Monthly,750000,62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,Vismaya Services,HK salary,Monthly,600000,50000,46955,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,46955,46016,
,24,Vismaya Services,My city salary,Monthly,810000,67500,66207,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,66676,
,25,Naveen Security Services,Security salary,Monthly,1140000,95000,96550,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,96550,96550,
